Código único,Barrio,Lados de manzana por estrato 1,Lados de manzana por estrato 2,Lados de manzana por estrato 3,Lados de manzana por estrato 4,Lados de manzana por estrato 5,Lados de manzana por estrato 6,Sin vivienda,Estrato moda
1501,El Retiro,227, -, -, -, -, -,105,1
1502,Los Comuneros I Etapa,57,174, -, -, -, -,115,2
1503,Laureano Gómez,158, -, -, -, -, -,34,1
1504,Vallado,11,330, -, -, -, -,106,2
1596,Ciudad Cordoba, -,41,423, -, -, -,308,3
1598,Mojica,274,132, -, -, -, -,182,1
1599,El Morichal,232,442, -, -, -, -,156,2
1601,Mariano Ramos,4,473, -, -, -, -,57,2
1602,República de Israel,2,310, -, -, -, -,40,2
1603,Unión de Vivienda Popular,4,324, -, -, -, -,55,2
1604,Antonio Nariño,90,327, -, -, -, -,47,2
1605,Brisas del Limonar, -,72, -, -, -, -,48,2
1697,Ciudad 2000, -, -,1,166, -, -,132,4
1698,La Alborada, -, -,2, -, -, -,2,3
1701,La Playa, -, -,10, -, -, -,1,3
1702,Primero de Mayo, -, -, -,97,1, -,8,4
1703,Ciudadela Comfandi, -, -,51,8,8, -,59,3
1705,Ciudad Universitaria, -, -, -, -, -,1,7,NR
1774,Caney, -, -, -,227,110, -,204,4
1775,Lili, -, -, -,88,50, -,68,4
1778,Santa Anita   La Selva, -, -, -,21,69, -,70,5
1780,El Ingenio, -, -, -,1,139,90,136,5
1781,Mayapan   Las Vegas, -, -,2, -,71, -,69,5
1782,Las Quintas de Don Simón, -, -, -,4,42, -,77,5
1783,Ciudad Capri, -, -, -,58,130, -,72,5
1784,La Hacienda, -,1, -,6,45, -,133,5
1785,Los Portales   Nuevo Rey, -, -, -,1,28, -,40,5
1786,Cañaverales   Los Samanes, -,3,81,26, -, -,62,3
1787,El Limonar, -, -,26,20, -, -,21,3
1788,Bosques del Limonar, -, -,1,35,4, -,24,4
1789,El Gran Limonar   Cataya, -, -,5,13,104, -,53,5
1790,El Gran Limonar, -, -, -,2,69, -,33,5
1791,Unicentro Cali, -, -,1, -,14, -,31,5
1793,Ciudadela Pasoancho, -, -, -, -,5,1,11,5
1794,Prados del Limonar, -, -, -,20,10,2,44,4
1796,Urbanización San Joaquin, -, -, -, -,21,4,61,5
1801,Buenos Aires, -,1,54, -,1, -,22,3
1802,Barrio Caldas, -, -,101, -, -, -,30,3
1803,Los Chorros,1,12,44,13, -, -,36,3
1804,Meléndez, -, -,53,2, -, -,19,3
1805,Los Farallones, -, -,32,1, -, -,14,3
1807,Francisco Eladio Ramirez, -, -,100, -, -, -,12,3
1808,Prados del Sur,6,96, -, -, -, -,13,2
1809,Horizontes, -, -,22, -, -, -,7,3
1810,Mario Correa Rengifo,10,74, -, -, -, -,12,2
1811,Lourdes,2,79,1, -, -, -,12,2
1812,Colinas del Sur, -,1,21, -, -, -,9,3
1813,Alferez Real, -, -,28,5, -, -,11,3
1814,Nápoles, -,1,62,3, -, -,12,3
1815,El Jordán,28,121,1, -, -, -,19,2
1816,Cuarteles Nápoles,29,6, -, -, -, -,8,1
1890,Sector Alto de los Chorros,245,6, -, -, -, -,29,1
1891,Polvorines,16,26,1,1, -, -,69,2
1896,Sector Meléndez, -, -,41, -, -, -,6,3
1897,Sector Alto Jordán,286,54, -, -, -, -,23,1
1898,Alto Nápoles,309,93,3, -,5, -,141,1
1901,El Refugio, -,4,1,127,3, -,51,4
1902,La Cascada, -, -, -,12,21, -,39,5
1903,El Lido, -, -,2,39,59, -,55,5
1904,Urbanización Tequendama, -, -, -,22,74, -,17,5
1905,Barrio Eucarístico, -, -, -,118,7, -,26,4
1906,San Fernando Nuevo, -, -, -,54,26, -,34,4
1907,Urbanización Nueva Granada, -, -, -,52,9, -,0,4
1908,Santa Isabel, -,3,3,49,24,11,30,4
1909,Bellavista,7,63,26,8,17,15,35,2
1910,San Fernando Viejo, -, -,22,93,87, -,37,4
1911,Miraflores, -, -,14,40,5, -,2,4
1912,3 de Julio, -, -, -,63, -, -,12,4
1913,El Cedro, -, -,10,103, -, -,30,4
1914,Champagnat, -, -,4,92, -, -,19,4
1915,Urbanización Colseguros, -, -,4,112, -, -,17,4
1916,Los Cambulos, -, -,2,60,22, -,45,4
1917,El Mortiñal,12,34, -, -, -, -,6,2
1918,Urbanización Militar, -, -, -,9,4, -,43,4
1919,Cuarto de Legua   Guadalupe, -, -, -,1,41, -,15,5
1921,Nueva Tequendama, -, -, -,5,113, -,47,5
1922,Camino Real   J. Borrero S., -, -,4,27,40, -,26,5
1923,Camino Real   Los Fundadores,10,2, -,6,16, -,17,5
1981,Sector Altos de Santa Isabel,2,2, -, -,2,3,7,6
1982,Santa Barbara, -, -, -, -,4,2,1,5
1983,Tejares   Cristales, -,1, -, -,5,65,41,6
1984,Unidad Res. Santiago de Cali, -, -, -,5,1, -,12,4
1985,Unidad Res. El Coliseo, -, -, -,3, -, -,6,4
1988,Cañaveralejo   Seguros Patria, -, -, -,20,68,1,42,5
1992,Cañaveral , -, -, -, -,10,17,3,6
1994,Pampa Linda, -, -, -,2,72, -,52,5
1995,Sector Cañaveralejo Guadalupe, -,2,1,5,13, -,35,5
1997,Sector Bosque Municipal,3,1, -, -, -, -,14,1
1999,U. Dep. A. Galindo   Plaza Toros, -, -, -, -, -, -,8,NR
2001,El Cortijo,6,15,1, -, -, -,7,2
2002,Belisario Caicedo, -,1,48, -, -, -,11,3
2003,Siloé,487,145, -, -, -, -,110,1
2004,Lleras Camargo,409, -, -, -, -, -,87,1
2005,Belén,97,48,5, -, -, -,50,1
2006,Brisas de Mayo,204,8, -, -, -, -,96,1
2007,Tierra Blanca,65, -, -, -, -, -,24,1
2008,Pueblo Joven,43,1, -, -, -, -,35,1
2097,Cementerio   Carabineros, -, -, -, -, -, -,20,NR
2098,Venezuela   Urb. Cañaveralejo,51,20,1, -, -, -,53,1
2101,Pízamos I,150, -, -, -, -, -,152,1
2102,Pízamos II,105, -, -, -, -, -,82,1
2103,Calimio Desepaz,163,86, -, -, -, -,266,1
2104,El Remanso,144,1, -, -, -, -,67,1
2105,Los Líderes,52,1, -, -, -, -,29,1
